Rank,Name
1,Jennifer
2,Michelle
3,Lisa
4,Kimberly
5,Amy
6,Angela
7,Melissa
8,Stephanie
9,Heather
10,Nicole
11,Tammy
12,Julie
13,Mary
14,Rebecca
15,Elizabeth
16,Christine
17,Laura
18,Tina
19,Tracy
20,Dawn
21,Karen
22,Shannon
23,Kelly
24,Susan
25,Cynthia
26,Christina
27,Patricia
28,Lori
29,Wendy
30,Andrea
31,Sandra
32,Maria
33,Stacy
34,Pamela
35,Denise
36,Michele
37,Tonya
38,Tara
39,Teresa
40,Rachel
41,Stacey
42,Melanie
43,Deborah
44,Brenda
45,Donna
46,Jessica
47,Monica
48,April
49,Sarah
50,Sharon
51,Linda
52,Dana
53,Carrie
54,Tanya
55,Robin
56,Cheryl
57,Kathleen
58,Barbara
59,Crystal
60,Rhonda
61,Tiffany
62,Jill
63,Nancy
64,Heidi
65,Catherine
66,Debra
67,Kristin
68,Theresa
69,Katherine
70,Sherry
71,Holly
72,Paula
73,Danielle
74,Christy
75,Leslie
76,Amanda
77,Renee
78,Gina
79,Jacqueline
80,Cindy
81,Melinda
82,Veronica
83,Diana
84,Tamara
85,Kristen
86,Anna
87,Erica
88,Tracey
89,Yolanda
90,Sheila
91,Ann
92,Suzanne
93,Erin
94,Shelly
95,Margaret
96,Alicia
97,Jodi
98,Laurie
99,Victoria
100,Valerie
101,Sara
102,Kristi
103,Kathryn
104,Regina
105,Diane
106,Carla
107,Deanna
108,Kathy
109,Carol
110,Carolyn
111,Janet
112,Kristina
113,Beth
114,Jamie
115,Allison
116,Katrina
117,Katina
118,Kim
119,Jenny
120,Tricia
121,Traci
122,Sonya
123,Colleen
124,Terri
125,Misty
126,Shelley
127,Kristine
128,Felicia
129,Sherri
130,Connie
131,Emily
132,Julia
133,Vanessa
134,Anne
135,Lynn
136,Anita
137,Samantha
138,Erika
139,Cassandra
140,Brandy
141,Brandi
142,Krista
143,Natalie
144,Carmen
145,Angel
146,Nichole
147,Sheri
148,Kerry
149,Yvonne
150,Kelli
151,Martha
152,Sabrina
153,Monique
154,Aimee
155,Annette
156,Bridget
157,Bonnie
158,Kristy
159,Stacie
160,Joy
161,Amber
162,Alison
163,Tracie
164,Virginia
165,Becky
166,Wanda
167,Marie
168,Kristie
169,Cathy
170,Natasha
171,Janice
172,Jody
173,Nikki
174,Shawna
175,Gloria
176,Sonia
177,Vicki
178,Toni
179,Leah
180,Penny
181,Megan
182,Debbie
183,Trina
184,Shawn
185,Beverly
186,Kari
187,Belinda
188,Charlotte
189,Yvette
190,Kerri
191,Jeanette
192,Christie
193,Robyn
194,Sylvia
195,Charlene
196,Kara
197,Meredith
198,Joanna
199,Darlene
200,Kendra
201,Ruth
202,Catina
203,Betty
204,Claudia
205,Tammie
206,Joyce
207,Joanne
208,Peggy
209,Shirley
210,Ginger
211,Rose
212,Jean
213,Hope
214,Rosa
215,Tami
216,Frances
217,Tonia
218,Dorothy
219,Kimberley
220,Judith
221,Gretchen
222,Judy
223,Candace
224,Kellie
225,Helen
226,Molly
227,Kelley
228,Marsha
229,Leigh
230,Rita
231,Alice
232,Latonya
233,Sonja
234,Ashley
235,Bobbie
236,Ellen
237,Maureen
238,Jane
239,Norma
240,Tasha
241,Juanita
242,Melody
243,Christa
244,Karla
245,Vickie
246,Keri
247,Joann
248,Dina
249,Ana
250,Billie
251,Caroline
252,Elaine
253,Staci
254,Evelyn
255,Sandy
256,Leticia
257,Rochelle
258,Loretta
259,Jackie
260,Angie
261,Raquel
262,Lauren
263,Candice
264,Teri
265,Cheri
266,Marcia
267,Gail
268,Lynette
269,Rachael
270,Roberta
271,Dena
272,Stefanie
273,Sheryl
274,Jeanne
275,Adrienne
276,Ronda
277,Jodie
278,Audrey
279,Eileen
280,Christi
281,Marcy
282,Jenifer
283,Sally
284,Kirsten
285,Rachelle
286,Lora
287,Eva
288,Roxanne
289,Gwendolyn
290,Jennie
291,Jana
292,Mindy
293,Marilyn
294,Candy
295,Deana
296,Lara
297,Tabitha
298,Cherie
299,Shari
300,Angelia
301,Ericka
302,Jeannie
303,Keisha
304,Shelia
305,Antoinette
306,Nina
307,Irene
308,Desiree
309,Bethany
310,Alisa
311,Katie
312,Lorraine
313,Dianna
314,Marla
315,Trisha
316,Priscilla
317,Shana
318,Lydia
319,Shelby
320,Terry
321,Brooke
322,Joan
323,Bobbi
324,Cara
325,Jo
326,Tammi
327,Sherrie
328,Latasha
329,Angelique
330,Wendi
331,Darla
332,Esther
333,Lee
334,Ramona
335,Audra
336,Lorie
337,Courtney
338,Jacquelyn
339,Angelica
340,Karin
341,Chandra
342,Cristina
343,Marlene
344,Patrice
345,Lesley
346,Marisol
347,Naomi
348,Ruby
349,Bernadette
350,Betsy
351,Melisa
352,Tanisha
353,Tamika
354,Alexandra
355,Lillian
356,Marcie
357,Rosemary
358,Tisha
359,Glenda
360,Shanna
361,Elisa
362,Doris
363,Grace
364,Nora
365,Lana
366,Shauna
367,Janine
368,Vicky
369,Amie
370,Janelle
371,Charity
372,Angelina
373,Josephine
374,Jeannette
375,Miriam
376,Vivian
377,Cecilia
378,Marci
379,Alma
380,Tania
381,Constance
382,Alisha
383,Kenya
384,Daphne
385,Maribel
386,Celeste
387,Casey
388,Bridgette
389,Rebekah
390,Lynda
391,Dionne
392,Faith
393,Darcy
394,Latanya
395,Lorena
396,Leanne
397,Camille
398,Ladonna
399,Phyllis
400,Marianne
